SF: 6, BW: 7800 Hz, CR: 4/5, T_payload: 22.974359 ms
SF: 6, BW: 7800 Hz, CR: 4/6, T_payload: 26.256410 ms
SF: 6, BW: 7800 Hz, CR: 4/7, T_payload: 29.538462 ms
SF: 6, BW: 7800 Hz, CR: 4/8, T_payload: 32.820513 ms
SF: 6, BW: 10400 Hz, CR: 4/5, T_payload: 17.230769 ms
SF: 6, BW: 10400 Hz, CR: 4/6, T_payload: 19.692308 ms
SF: 6, BW: 10400 Hz, CR: 4/7, T_payload: 22.153846 ms
SF: 6, BW: 10400 Hz, CR: 4/8, T_payload: 24.615385 ms
SF: 6, BW: 15600 Hz, CR: 4/5, T_payload: 11.487179 ms
SF: 6, BW: 15600 Hz, CR: 4/6, T_payload: 13.128205 ms
SF: 6, BW: 15600 Hz, CR: 4/7, T_payload: 14.769231 ms
SF: 6, BW: 15600 Hz, CR: 4/8, T_payload: 16.410256 ms
SF: 6, BW: 20800 Hz, CR: 4/5, T_payload: 8.615385 ms
SF: 6, BW: 20800 Hz, CR: 4/6, T_payload: 9.846154 ms
SF: 6, BW: 20800 Hz, CR: 4/7, T_payload: 11.076923 ms
SF: 6, BW: 20800 Hz, CR: 4/8, T_payload: 12.307692 ms
SF: 6, BW: 31200 Hz, CR: 4/5, T_payload: 5.743590 ms
SF: 6, BW: 31200 Hz, CR: 4/6, T_payload: 6.564103 ms
SF: 6, BW: 31200 Hz, CR: 4/7, T_payload: 7.384615 ms
SF: 6, BW: 31200 Hz, CR: 4/8, T_payload: 8.205128 ms
SF: 6, BW: 41700 Hz, CR: 4/5, T_payload: 4.297362 ms
SF: 6, BW: 41700 Hz, CR: 4/6, T_payload: 4.911271 ms
SF: 6, BW: 41700 Hz, CR: 4/7, T_payload: 5.525180 ms
SF: 6, BW: 41700 Hz, CR: 4/8, T_payload: 6.139089 ms
SF: 6, BW: 62500 Hz, CR: 4/5, T_payload: 2.867200 ms
SF: 6, BW: 62500 Hz, CR: 4/6, T_payload: 3.276800 ms
SF: 6, BW: 62500 Hz, CR: 4/7, T_payload: 3.686400 ms
SF: 6, BW: 62500 Hz, CR: 4/8, T_payload: 4.096000 ms
SF: 6, BW: 125000 Hz, CR: 4/5, T_payload: 1.433600 ms
SF: 6, BW: 125000 Hz, CR: 4/6, T_payload: 1.638400 ms
SF: 6, BW: 125000 Hz, CR: 4/7, T_payload: 1.843200 ms
SF: 6, BW: 125000 Hz, CR: 4/8, T_payload: 2.048000 ms
SF: 6, BW: 250000 Hz, CR: 4/5, T_payload: 0.716800 ms
SF: 6, BW: 250000 Hz, CR: 4/6, T_payload: 0.819200 ms
SF: 6, BW: 250000 Hz, CR: 4/7, T_payload: 0.921600 ms
SF: 6, BW: 250000 Hz, CR: 4/8, T_payload: 1.024000 ms
