Designator,Footprint,Quantity,Value,LCSC Part #
"3.3V_2, 3.3V, GND",TestPoint_Pad_D1.5mm,3,TestPoint,
"A1, B1",SW_Tactile_SPST_Angled_PTS645Vx83-2LFS,2,Switch,
BOOT1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,Boot,
"C1, C10, C11, C13, C16, C17, C21, C22, C3, C4, C7, C8, C9",0603,13,.1uF,
"C12, C15, C18, C2, C20",0603,5,1uF,
C14,0603,1,0.1uF,
"C19, C6",0603,2,4.7uF,
C5,0603,1,10uF,
"D1, D2, D3",0603,3,LED,
"F1, F2",0603,2,Fuse_Small,
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_Batt,
J2,USB_C_Receptacle_JAE_DX07S016JA1R1500,1,USB_C_Receptacle_USB2.0,
"J4, J5",U.FL_Molex_MCRF_73412-0110_Vertical,2,Conn_Coaxial,
J6,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
"R1, R12, R16, R17, R18, R2, R21, R23, R24, R26, R27, TH1",0603,12,10k,
"R10, R9",0603,2,5.1k,
R13,0603,1,2.2k,
R14,0603,1,330,
R15,0603,1,1.2k,
"R19, R20, R4, R5, R6",0603,5,470,
R25,0603,1,200k,
R3,0603,1,20k,
R7,0603,1,1k,
RESET1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,Reset,
"TP1, TP2",TestPoint_Plated_Hole_D2.0mm,2,TestPoint,
U1,ESP32-S2-SOLO,1,ESP32-S2-SOLO,
U10,Texas_DRT-3,1,TPD2EUSB30,
"U11, U3",VSON-8_3.3x3.3mm_P0.65mm_NexFET,2,~,
U2,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871-1CC,
U4,SOT-23-5,1,AP2127K-3.3,
U5,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
U6,HOPERF_RFM9XW_SMD,1,RFM95W-915S2,
U7,VSSOP-8_2.3x2mm_P0.5mm,1,PCA9306DC,
U8,WSON-6_1.5x1.5mm_P0.5mm,1,BQ297xy,
U9,CD-PA1616D,1,CD_PA1616,
